obs,Site,Latitude,Longitude,tm,ts,tn,cm,cs,cn,MAP,N_addtion,pH,MAT,SOC,TN,TP,CNR,NPR,MBC,MBN,MCNR
106,34,39.94,-5.77,0.466445183,0.093,4,0.467774086,0.058,4,400-800,NA,NA,9,NA,NA,NA,NA,NA,286,35.75,8
107,34,39.94,-5.77,0.465116279,0.019,4,0.467774086,0.058,4,400-800,NA,NA,9,NA,NA,NA,NA,NA,293,36.625,8
108,35,51.56,11.07,0.564471058,0.11,4,0.277045908,0.039,4,400-800,>200,5.1,6.5,4.2,0.40776699,0.92,10.3,0.443224989,421,54,7.796296296
109,35,52.78,11.9,0.376846307,0.16,4,0.310978044,0.05,4,400-800,>200,6.4,9,1.8,0.156521739,0.8,11.5,0.195652174,109,7,15.57142857
110,35,51.56,11.07,0.498602794,0.028,4,0.289021956,0.033,4,400-800,>200,5.1,6.5,4.2,0.40776699,0.92,10.3,0.443224989,421,54,7.796296296
111,35,52.78,11.9,0.350898204,0.177,4,0.299001996,0.055,4,400-800,>200,6.4,9,1.8,0.156521739,0.8,11.5,0.195652174,109,7,15.57142857
112,36,28.11,112.3,0.456481481,0.043,3,0.439506173,0.037,3,>800,>200,6.8,17.1,22.75,2.24,0.66,10.15625,3.393939394,471.1779449,NA,NA
113,37,32.35,119.86,0.312,0.022,3,0.453142857,0.026,3,>800,<100,NA,16.9,NA,NA,NA,NA,NA,NA,NA,NA
114,37,32.35,119.86,0.146714286,0.044,3,0.163428571,0.018,3,>800,<100,NA,16.9,NA,NA,NA,NA,NA,NA,NA,NA
115,37,32.35,119.86,0.137428571,0.013,3,0.146714286,0.011,3,>800,<100,NA,16.9,NA,NA,NA,NA,NA,NA,NA,NA
116,38,46.8,130.2,0.679608586,0.057,3,0.425505051,0.015,3,400-800,NA,6.91,6,29.1,NA,NA,NA,NA,526,111,4.81
117,38,37.43,119.36,0.682765152,0.046,3,0.607007576,0.072,3,400-800,NA,7.47,12.9,16.6,NA,NA,NA,NA,250,196,1.28
118,38,34.3,108.3,0.518623737,0.107,3,0.569128788,0.046,3,400-800,NA,7.27,12,14.9,NA,NA,NA,NA,268,224,1.2
119,38,32.01,118.83,0.346590909,0.036,3,0.316603535,0.044,3,>800,NA,5.03,15.4,18.5,NA,NA,NA,NA,225,88,2.62
120,38,29.28,116.38,0.294332211,0.02,3,0.150883838,0.056,3,>800,NA,4.48,19.2,10.1,NA,NA,NA,NA,338,89.6,3.89
121,38,20.01,110.33,0.351325758,0.017,3,0.122474747,0.022,3,>800,NA,4.92,23,8.56,NA,NA,NA,NA,95.7,47.3,2.03
122,39,38.03,116.73,0.422163588,0.065,4,0.472823219,0.04,4,400-800,<100,NA,15,5.774834437,NA,NA,NA,NA,NA,NA,NA
123,39,38.03,116.73,0.504485488,0.023,4,0.472823219,0.04,4,400-800,<100,NA,15,4.715231788,NA,NA,NA,NA,NA,NA,NA
